,tweet,compound,positive,negative,neutral
2021-01-15,Another great week Gains of over 2400 and over 18 returns A big thank you to this community DJIA BYND,0.8402,0.36,0.0,0.64
2021-01-15,Another great week Gains of over 2400 and over 18 returns A big thank you to this community LI XPEV YJ,0.8402,0.346,0.0,0.654
2021-01-15,JordanFerry CJJohnson17th Looking for yield you should check out AOD Mopay closed end fund Top holdings a,0.2023,0.107,0.0,0.893
2021-01-15,Why should you use BAEX defi binary exchange 100 transparent open source multilevel referral system s,0.0,0.0,0.0,1.0
2021-01-15,007007 Apple has outperformed Facebook by 127 over the last five years In the meantime Facebook grew revenu,0.0,0.0,0.0,1.0
2021-01-15,WeBull account going up abnb hyfm aapl t box,0.0,0.0,0.0,1.0
2021-01-15,sebidscap Generally speaking over long periods of time studies show that revenue growth is correlated with share p,0.5859,0.242,0.0,0.758
2021-01-15,Lets get it gunna dripprdrown tapin apple aapl arkk tsla nio driv mgti the grind never stopped bitch,0.5773,0.228,0.0,0.772
2021-01-15,sebidscap FBgt AAPLCompletely agree about comparison of their LT prospects Very succinctly put,0.5719,0.299,0.0,0.701
2021-01-15,FB TWTR GOOGL AAPL AMZN I wonder if realDonalTrump will do something to regulate them by EO on his way out t,0.0,0.0,0.0,1.0
2021-01-15,SPCE here we go breaking out with volumeZM GME AAPL PT SOLO NFLX AMZN TSLA FB NIOAMD PLUG SPY,0.0,0.0,0.0,1.0
2021-01-15,AAPL Breakdown for 115,0.0,0.0,0.0,1.0
2021-01-15,AAPL January 27 2015 earnings after iphone 6amp6plus released eps gt40 revenue gt30 YoY iphone mac amp app stor,0.0,0.0,0.0,1.0
2021-01-15,jamescarter89 Thats exactly how I started Went from SPY being my largest holding QQQ and then blue chip Saf,0.0,0.0,0.0,1.0
2021-01-15,5 Reasons Why Most Options Traders Lose Money And The Solutionsspy aapl tsla,-0.4522,0.0,0.212,0.788
2021-01-15,Closed my position on tlry65k profit 3 days of holdingHappy 2021 Moved my money into another hidden cann,0.4404,0.153,0.0,0.847
2021-01-15,CamyFbaby The list goes onGE from cars to appliancesNFLX from DVDs to production studioDIS from cartoons to,0.0,0.0,0.0,1.0
2021-01-15,at least warren is 40 AAPL,0.0,0.0,0.0,1.0
2021-01-15,Bast roomGet 20 DAYS FREE TRIALOZSC TLSS VYST BBRW GAXY TOPS TPTW OPTI PCTL AAPL CCTL CTS HTBX,0.8429,0.335,0.0,0.665
2021-01-15,Most active trading group Alerts Analysis StocksOptionsDay trading20 DAYS FREE TRIALspce sunw,0.7921,0.413,0.0,0.587
2021-01-15,Broke 7000 followers tonight I just want to say thank you everyone Long NIO TSLA XPEV LI RIDE AAPL AMZN,0.0,0.168,0.124,0.708
2021-01-15,aboutheoptions Can you comment on AAPL and AMZN plz,0.0772,0.14,0.0,0.86
2021-01-15,Number of Facebook users in USA 255MNumber of Trump voters 75M Who has the real power Number of,0.1531,0.14,0.0,0.86
2021-01-15,Multistream Test StockTalk2020 LIVE TEST MULTISTREAMtock Fam Assseeemmmbbbllleeeestockmarket,0.0,0.0,0.0,1.0
2021-01-15,Top 5 Bullish flow today BLNK SPX AAPL PLUG NIO,0.2023,0.184,0.0,0.816
2021-01-15,Slowly getting out of the aapl amp amzn ecosystem,0.0,0.0,0.0,1.0
2021-01-15,TSLA AAPL FB AMD TGT for tomorrow Might change depends on premarket,0.0,0.0,0.0,1.0
2021-01-15,AAPL 021921135 CALLS26M BLOCKEOD Order that caught my eye Ill be watching these tomorrow,-0.4215,0.0,0.177,0.823
2021-01-15,TSLA SPY AAPL NIO have any of you guys tried to create a trading algorithm via python or other languages Genui,0.2732,0.1,0.0,0.9
2021-01-15,Between dis nflx aapl etc would argue dis has the best returnoncontentspend thats learned over decades o,0.4215,0.204,0.117,0.68
2021-01-15,AAPL Breakdown for 115 AAPL chart,0.0,0.0,0.0,1.0
2021-01-15,Dynamicbrands Ive been saying this for the past 10 yrs market only went down down 34 mos in 2008 and stocks are,0.0,0.0,0.0,1.0
2021-01-15,What you get here Is the most co distant no bs directional bias on twitter And thats more then sniff spy sox,-0.4336,0.0,0.162,0.838
2021-01-15,Honestly I love airlines and I love cruise lines If youre not making a fortune already in 2021 youre doing some,0.9081,0.432,0.0,0.568
2021-01-15,Most profitable amp Largest trading community 97k members Up to 742 profits in an hour LINK IN BIO,0.7264,0.276,0.0,0.724
2021-01-15,NioBuII DCDOWORK AAPL returned 80 last year For the largest cap company great product and most solid balance,0.7178,0.272,0.0,0.728
2021-01-15,Top Bullish Option Flow Today 1 NIO 2 TSLA 3 BABA 4 AAPL 5 NEE 6 INTC 7 BLNK 8 TNA 9 FB 10,0.2023,0.114,0.0,0.886
2021-01-15,Hidden GEM cannabis stockMedMen medmen mmnffSylvester Stallone recently caught purchasing hereAVXL JADA,0.0,0.0,0.0,1.0
