,Unnamed: 0,date,image_url,news_url,sentiment,source_name,text,tickers,title,topics,type
0,0,"Wed, 13 Jan 2021 14:14:40 -0500",https://cdn.snapi.dev/images/v1/d/k/dkdki65.,https://seekingalpha.com/article/4398771-microsoft-4-different-types-of-valuation-say-buy,Positive,Seeking Alpha,"We cannot state the slowdown in Microsoft's growth. In an evaluation context, this means a lot. MSFT is now at least no more expensive than the main blue chips in Nasdaq.",['MSFT'],Microsoft: 4 Different Types Of Valuation Say 'Buy',['paylimitwall'],Article
1,1,"Wed, 13 Jan 2021 13:53:55 -0500",https://cdn.snapi.dev/images/v1/9/w/105709441-1548866906316gettyimages-1087902632530x298.jpeg,https://investorplace.com/2021/01/msft-stock-is-worth-37-more-based-on-its-powerful-fcf/,Positive,InvestorPlace,Microsoft is still worth significantly more based on its powerful free cash flow. MSFT stock is worth at least 36.5% more based on a 3% yield on its forecast June 2022 FCF.,['MSFT'],Microsoft Is Worth More Based on Its Powerful Free Cash Flow,[],Article
2,2,"Wed, 13 Jan 2021 07:00:00 -0500",https://cdn.snapi.dev/images/v1/x/1/press20---jwfmgofyya.jpg,https://www.accesswire.com/viewarticle.aspx?id=624059,Neutral,Accesswire,"EDMONTON, AB / ACCESSWIRE / January 13, 2021 / OneSoft Solutions Inc. (TSXV:OSS)(OTCQB:OSSIF) (the ""Company"" or ""OneSoft"") is pleased to announce that one of the largest gas pipeline companies in the U.S.A. (the ""Client"") has entered into an agreement with the Company's wholly owned subsidiary, OneBridge Solutions Inc. (""OneBridge"") to integrate Cognitive Integrity Management TM (""CIM"") software-as-a-service solution into its integrity management practices for a major division of its pipeline operations.","['MSFT', 'OSSIF']",Another Large U.S. Gas Pipeline Company Adopts OneBridge's Machine Learning SaaS Solution,['PressRelease'],Article
3,3,"Tue, 12 Jan 2021 18:48:15 -0500",https://cdn.snapi.dev/images/v1/y/2/microsoft-4.jpg,https://www.zacks.com/stock/news/1245465/microsoft-msft-stock-sinks-as-market-gains-what-you-should-know,Negative,Zacks Investment Research,"In the latest trading session, Microsoft (MSFT) closed at $214.93, marking a -1.18% move from the previous day.",['MSFT'],Microsoft (MSFT) Stock Sinks As Market Gains: What You Should Know,[],Article
4,4,"Tue, 12 Jan 2021 16:05:00 -0500",https://cdn.snapi.dev/images/v1/c/o/conf4---2g3y824wt2.jpg,https://www.prnewswire.com/news-releases/microsoft-announces-quarterly-earnings-release-date-301206871.html,Neutral,PRNewsWire,"REDMOND, Wash., Jan. 12, 2021 /PRNewswire/ -- Microsoft Corp. will publish fiscal year 2021 second-quarter financial results after the close of the market on Tuesday, Jan. 26, 2021, on the Microsoft Investor Relations website at https://www.microsoft.com/en-us/Investor/. A live webcast of...",['MSFT'],Microsoft announces quarterly earnings release date,"['earnings', 'Conference']",Article
5,5,"Tue, 12 Jan 2021 12:48:09 -0500",https://cdn.snapi.dev/images/v1/p/n/105359533-1532726400165gettyimages-962154376530x298.jpeg,https://www.zacks.com/stock/news/1245298/microsoft-msft-to-extend-azure-cloud-to-verilys-terra-platform,Neutral,Zacks Investment Research,Microsoft (MSFT) is collaborating with Verily and Broad Institute of MIT and Harvard to foster biomedicine research through Terra platform.,['MSFT'],Microsoft (MSFT) to Extend Azure Cloud to Verily's Terra Platform,[],Article
6,6,"Tue, 12 Jan 2021 11:25:34 -0500",https://cdn.snapi.dev/images/v1/3/x/family-of-microsoft-surface-windows-tablets-56a6c6193df78cf7728ff75d.png,https://www.investopedia.com/microsoft-msft-introduces-surface-pro-7-for-business-5095203,Positive,Investopedia,"Microsoft (MSFT) has released its new Surface Pro 7+ for Business personal computer, designed to facilitate remote work and learning.",['MSFT'],Microsoft (MSFT) Introduces Surface Pro 7+ for Business,['product'],Article
7,7,"Mon, 11 Jan 2021 23:39:07 -0500",https://cdn.snapi.dev/images/v1/u/q/stocks-this-week-sell-short-amgen-and-kraft-heinz.jpg,https://seekingalpha.com/article/4398433-dogs-of-dow-plan-to-improve-on-market-beating-strategy,Neutral,Seeking Alpha,Data indicates The Dogs of the Dow outperform over long time frames. I contend the Dogs provide a good risk/reward profile for Dividend Growth investors.,"['AMGN', 'CSCO', 'CVX', 'DOW', 'IBM', 'KO', 'MMM', 'MSFT', 'TSLA', 'VDE', 'WBA']",The Dogs Of The Dow: My Plan To Improve On The Market Beating Strategy,['paylimitwall'],Article
8,8,"Mon, 11 Jan 2021 18:48:16 -0500",https://cdn.snapi.dev/images/v1/i/w/105359522-1532725827477gettyimages-962154428.jpeg,https://www.zacks.com/stock/news/1244742/microsoft-msft-dips-more-than-broader-markets-what-you-should-know,Negative,Zacks Investment Research,"Microsoft (MSFT) closed the most recent trading day at $217.49, moving -0.97% from the previous trading session.",['MSFT'],Microsoft (MSFT) Dips More Than Broader Markets: What You Should Know,[],Article
9,9,"Mon, 11 Jan 2021 18:05:52 -0500",https://cdn.snapi.dev/images/v1/4/9/apple-and-nvidia-among-trending-stocks-rated-top-buy-this-week.jpg,https://www.forbes.com/sites/qai/2021/01/11/apple-and-nvidia-among-trending-stocks-rated-top-buy-this-week/,Positive,Forbes,We have a very interesting week ahead full of earnings reports and news. But time will tell what will happen.,"['NVDA', 'AAPL', 'FB', 'MSFT', 'NFLX', 'PFE', 'STZ', 'STZ-B']",Apple And Nvidia Among Trending Stocks Rated Top Buy This Week,[],Article
10,10,"Mon, 11 Jan 2021 12:13:27 -0500",https://cdn.snapi.dev/images/v1/p/o/103319276-20160120-3158-1936.jpg,https://www.cnbc.com/2021/01/11/microsoft-puts-political-contributions-on-hold-after-capitol-siege.html,Neutral,CNBC,"Microsoft employees didn't agree with some recent political contributions last week, and that was before the siege on the U.S. Capitol.",['MSFT'],Microsoft puts political contributions on hold after Capitol siege,[],Article
11,11,"Mon, 11 Jan 2021 12:03:10 -0500",https://cdn.snapi.dev/images/v1/m/q/trump-to-launch-final-stand-against-big-tech-report.jpg,https://www.youtube.com/watch?v=PgjO0NH3PoU,Negative,Fox Business,President Trump expected to take a final stand against big tech before leaving the White House. Subscribe to Fox Business!,"['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT', 'TWTR']",Trump to launch final stand against Big Tech: Report,['Political'],Video
12,12,"Mon, 11 Jan 2021 10:56:29 -0500",https://cdn.snapi.dev/images/v1/s/p/sp222.,https://investorplace.com/2021/01/the-8-best-tech-stocks-to-buy-for-2021s-advances/,Positive,InvestorPlace,These best tech stocks to buy are all coming off solid performances in 2020. The new year promises to keep their winning streaks going.,"['AAPL', 'AMD', 'AMZN', 'GOOG', 'GOOGL', 'MSFT', 'ORCL', 'FTNT', 'ZM']",The 8 Best Tech Stocks to Buy for 2021's Advances,[],Article
13,13,"Mon, 11 Jan 2021 09:00:40 -0500",https://cdn.snapi.dev/images/v1/h/x/featpngw930.jpg,https://venturebeat.com/2021/01/11/alphabets-verily-teams-up-with-microsoft-to-power-multi-cloud-biomedical-research/,Positive,VentureBeat,Alphabet's research subsidiary Verily has announced a strategic partnership to adopt a new multi-cloud approach to biomedical research.,"['GOOG', 'GOOGL', 'MSFT']",Alphabet's Verily teams up with Microsoft to power multi-cloud biomedical research,[],Article
14,14,"Mon, 11 Jan 2021 09:00:21 -0500",https://cdn.snapi.dev/images/v1/s/u/surface-pro-7-image-5jpgw600.jpg,https://techcrunch.com/2021/01/11/microsofts-latest-business-focused-surface-is-focused-on-remote-work/,Positive,TechCrunch,"As CES starts in earnest today, I anticipate we'll be seeing a lot of hardware focused on remote work. PC sales saw a nice spike last year, even as smartphone sales continued to slip.",['MSFT'],Microsoft's latest business-focused Surface is focused on remote work,['product'],Article
